specialty,category,source_row_count,hbp_estimated_cost_inr_low,hbp_estimated_cost_inr_high,hbp_cost_confidence,hbp_cost_source_label,hbp_cost_source_url
General Medicine and ICU,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Hand Trauma Surgery,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
ICU,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
ICU Critical Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
ICU and Critical Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Intensive Care,"Emergency, Trauma & Critical Care",2,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Intensive Care Medicine,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Intensive Care Physician and Critical Care,"Emergency, Trauma & Critical Care",2,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Intensive Care Unit,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Intensive and Critical Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Intensivecritical Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Intensivist,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Intensivist Anaesthesiologist,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Internal Medicine and Critical Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Isolation ICU,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Medicine and Critical Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Neonatal Critical Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Neonatal Intensive Care Unit,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Neuro Critical Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Neuro Critical Care Neurosurgery,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Neuro Intensive Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Neuro Trauma,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Neuro Trauma Surgery,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Neurocritical Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Neurocritical Care Anesthesia,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Neurocritical Care Neurosurgery,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Neurointensive Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Neurotrauma,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Neurotrauma Neurosurgery,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Orthopaedic Trauma Facture Management,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Orthopaedics Trauma and Sports Medicine,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Orthopaedics and Trauma,"Emergency, Trauma & Critical Care",2,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Orthopedic Trauma,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Orthopedic Trauma Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Orthopedic Trauma Specialist,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Orthopedic Trauma and Complex Fracture Surgery,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Orthopedic Trauma and Fracture Surgery,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Orthopedics Traumatology,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Orthopedics and Traumatology,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Paediatric Critical Care Medicine,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Paediatric Emergency,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Paediatric Intensive Care Unit,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pediatric Critical Care Medicine,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pediatric Dental Emergency,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pediatric Emergency Medicine,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pediatric Intensive Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pediatric Intensive Care Unit,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pediatric Intensivist,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pediatric Neurosurgery and Trauma,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pediatric Trauma,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pediatrics Neonatal Critical Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Poly Trauma,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Poly Trauma and Accident Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Polytrauma,"Emergency, Trauma & Critical Care",2,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Polytrauma and Fracture,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pulmonary Sciences and Critical Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Respiratory Medicine and Critical Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Trauma Anesthesiology,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Trauma Care,"Emergency, Trauma & Critical Care",2,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Trauma Centre,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Trauma Critical Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Trauma Fracture Care,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Trauma Orthopaedic,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Trauma Reconstruction,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Trauma Surgery,"Emergency, Trauma & Critical Care",2,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Trauma and Emergency,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Trauma and Fracture Surgery,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Trauma and Joint Replacement,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Trauma and Orthopaedics,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Traumacarecentre,"Emergency, Trauma & Critical Care",1,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Traumatology,"Emergency, Trauma & Critical Care",2,1500,10000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Bariatric Surgery,"Endocrinology, Diabetes & Metabolic",2,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Bariatric Surgery Metabolic,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Bariatric Surgery and Metabolic Assessment,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Bariatrics,"Endocrinology, Diabetes & Metabolic",2,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Ca Thyroid,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Carerisk Management of Diabetes,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Diabetes,"Endocrinology, Diabetes & Metabolic",2,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Diabetes Centre,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Diabetes Management,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Diabetes and Endocrinology,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Diabetes and Metabolic Disorders,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Diabetes and Obesity,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Diabetic Centre of Excellence,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Diabetic Eyecare,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Diabetic Foot Surgery,"Endocrinology, Diabetes & Metabolic",2,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Diabetic Foot and Wound Care,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Diabetologist,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Diabetology,"Endocrinology, Diabetes & Metabolic",2,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Diabetology and Endocrinology,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Diagnostic Endocrinology,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Dietitian and Diabetes Educator,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Endocrine Surgery,"Endocrinology, Diabetes & Metabolic",2,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Endocrine and Diabetes and Metabolism,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Endocrinologist,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Endocrinology,"Endocrinology, Diabetes & Metabolic",2,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Endocrinology and Diabetes,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Endocrinology and Diabetes and Metabolism,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Endocrinology and Diabetology,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Endocrinology and Endocrine Surgery,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Endocrinology and Metabolism,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
General Medicine and Diabetology,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Gestational Diabetes,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Internal Medicine and Diabetology,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Metabolic Physician,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Metabolic Surgery,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Metabolic and Bariatric Surgery,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Metabolicdisorder,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Metabolicsurgery,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Minimally Access Bariatric and Metabolic Surgery,"Endocrinology, Diabetes & Metabolic",2,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Obesity,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Obesity and Diabetic Surgery,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Obesityweight Loss Programs,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Podiatric Diabetic Foot,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Thyroid Health,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Thyroid Surgery,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Thyroid and Parathyroid Clinic,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Thyroid and Parathyroid Disorders,"Endocrinology, Diabetes & Metabolic",1,1500,9000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Acute Liver Failure,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Advance Laparoscopic Surgery,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Advanced Laparoscopic Urology,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anal Abscess,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anal Fissure,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anal Fistula,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anal Polyp,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anal Polyp Treatment,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anal Warts,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anorectal Clinical Service,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anorectal Surgery,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Appendicitis,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Av Fistula Creation for Dialysis,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Billiary Sciences,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Capsule Endoscopy,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Coloproctology,"Gastroenterology, Hepatobiliary & Colorectal",1,6000,60000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
